"path","parent_path","name","size","is_dir","status","reason","last_modified"
"/先看这个喵.txt","","先看这个喵.txt","1358","False","included","小型课程资料","07/01/2026 17:36:26"
"/classmate/classmate-0.1.0.vsix","/classmate","classmate-0.1.0.vsix","5946935","False","included","小型课程资料","08/30/2026 21:03:14"
"/classmate/README.md","/classmate","README.md","6497","False","included","小型课程资料","08/30/2026 21:03:13"
"/物理类/README.txt","/物理类","README.txt","104","False","included","小型课程资料","04/06/2026 21:30:50"
"/物理类/物理系资源链接.md","/物理类","物理系资源链接.md","118","False","included","小型课程资料","05/23/2021 15:38:13"
"/物理类/经典场论新讲 陈童.pdf","/物理类","经典场论新讲 陈童.pdf","1915646","False","excluded","PDF 未识别为往年题、作业、笔记、总结或课程报告","03/30/2024 18:16:11"
"/攻略&碎碎念/Agent 和 Skill 入门攻略/Agent 和 Skill 入门攻略.md","/攻略&碎碎念/Agent 和 Skill 入门攻略","Agent 和 Skill 入门攻略.md","18587","False","included","小型课程资料","09/08/2026 06:31:19"
"/攻略&碎碎念/Agent 和 Skill 入门攻略/Agent 和 Skill 入门攻略.pdf","/攻略&碎碎念/Agent 和 Skill 入门攻略","Agent 和 Skill 入门攻略.pdf","1189479","False","excluded","PDF 未识别为往年题、作业、笔记、总结或课程报告","09/08/2026 06:31:19"
"/攻略&碎碎念/零基础的codex下载和使用攻略/codex-api切换-Mac.zip","/攻略&碎碎念/零基础的codex下载和使用攻略","codex-api切换-Mac.zip","4329","False","excluded","压缩包","08/30/2026 22:18:58"
"/攻略&碎碎念/零基础的codex下载和使用攻略/codex-api切换.zip","/攻略&碎碎念/零基础的codex下载和使用攻略","codex-api切换.zip","11167","False","excluded","压缩包","08/29/2026 07:36:36"
"/攻略&碎碎念/零基础的codex下载和使用攻略/macOS补充说明-零基础的Codex下载和使用攻略.md","/攻略&碎碎念/零基础的codex下载和使用攻略","macOS补充说明-零基础的Codex下载和使用攻略.md","8539","False","included","小型课程资料","08/30/2026 22:18:58"
"/攻略&碎碎念/零基础的codex下载和使用攻略/零基础的codex下载和使用攻略.md","/攻略&碎碎念/零基础的codex下载和使用攻略","零基础的codex下载和使用攻略.md","25717","False","included","小型课程资料","08/29/2026 07:36:32"
"/攻略&碎碎念/零基础的codex下载和使用攻略/零基础的codex下载和使用攻略.pdf","/攻略&碎碎念/零基础的codex下载和使用攻略","零基础的codex下载和使用攻略.pdf","1465224","False","excluded","PDF 未识别为往年题、作业、笔记、总结或课程报告","08/29/2026 07:38:47"
"/数学类/初等数论/2024年春季《初等数论》参考答案.pdf","/数学类/初等数论","2024年春季《初等数论》参考答案.pdf","95106","False","included","小型课程资料","04/02/2026 20:28:42"
"/数学类/初等数论/2024年春季《初等数论》期末试卷.pdf","/数学类/初等数论","2024年春季《初等数论》期末试卷.pdf","63828","False","included","小型课程资料","04/02/2026 20:28:42"
"/数学类/初等数论/2025年《初等数论》第二次作业.pdf","/数学类/初等数论","2025年《初等数论》第二次作业.pdf","43392","False","included","小型课程资料","04/02/2026 20:28:42"
"/数学类/初等数论/2025年春季《初等数论》第三次作业.pdf","/数学类/初等数论","2025年春季《初等数论》第三次作业.pdf","29603","False","included","小型课程资料","04/02/2026 20:28:42"
"/数学类/初等数论/2025年春季《初等数论》第四次作业.pdf","/数学类/初等数论","2025年春季《初等数论》第四次作业.pdf","42340","False","included","小型课程资料","04/02/2026 20:28:42"
"/数学类/初等数论/《初等数论》习题.pdf","/数学类/初等数论","《初等数论》习题.pdf","61818","False","included","小型课程资料","04/02/2026 20:28:43"
"/数学类/初等数论/《初等数论》笔记.pdf","/数学类/初等数论","《初等数论》笔记.pdf","393792","False","included","小型课程资料","04/02/2026 20:28:43"
