-2.2	-0.266
-2.09	-0.265
-1.98	-0.2656
-1.87	-0.2654
-1.76	-0.2656
-1.65	-0.2655
-1.54	-0.2652
-1.43	-0.2653
-1.32	-0.2652
-1.21	-0.2658
-1.1	-0.2656
-0.99	-0.2648
-0.88	-0.2661
-0.77	-0.2653
-0.66	-0.2651
-0.55	-0.2647
-0.44	-0.2653	
-0.33	-0.2654	
-0.22	-0.2648	
-0.11	-0.2645	
0	-0.2651	-0.2651
0.11	-0.2665	-0.266137
0.22	-0.2658	-0.265074
0.33	-0.2652	-0.264111
0.44	-0.2646	-0.263148
0.55	-0.2644	-0.262585
0.66	-0.2634	-0.261222
0.77	-0.2632	-0.260659
0.88	-0.263	-0.260096
0.99	-0.2621	-0.258833
1.1	-0.2622	-0.25857
1.21	-0.2622	-0.258207
1.32	-0.2625	-0.258144
1.43	-0.2623	-0.257581
1.54	-0.2622	-0.257118
1.65	-0.2618	-0.256355
1.76	-0.2607	-0.254892
1.87	-0.2604	-0.254229
1.98	-0.26	-0.253466
2.08	-0.2588	-0.251936
2.19	-0.2568	-0.249573
2.3	-0.2553	-0.24771
2.41	-0.2542	-0.246247
2.52	-0.2516	-0.243284
2.63	-0.2492	-0.240521
2.74	-0.2464	-0.237358
2.85	-0.2439	-0.234495
2.96	-0.2413	-0.231532
3.07	-0.2369	-0.226769
3.18	-0.2344	-0.223906
3.29	-0.2307	-0.219843
3.4	-0.226	-0.21478
3.51	-0.2223	-0.210717
3.62	-0.2178	-0.205854
3.73	-0.2134	-0.201091
3.84	-0.2091	-0.196428
3.95	-0.2062	-0.193165
4.06	-0.2007	-0.187302
4.17	-0.1957	-0.181939
4.28	-0.1913	-0.177176
4.39	-0.1867	-0.172213
4.5	-0.1817	-0.16685
4.61	-0.1767	-0.161487
4.72	-0.171	-0.155424
4.83	-0.1661	-0.150161
4.94	-0.1613	-0.144998
5.05	-0.1562	-0.139535
5.16	-0.1514	-0.134372
5.27	-0.1468	-0.129409
5.38	-0.1419	-0.124146
5.49	-0.1362	-0.118083
5.6	-0.1311	-0.11262
5.71	-0.127	-0.108157
5.82	-0.1218	-0.102594
5.93	-0.117	-0.097431
6.04	-0.1122	-0.092268
6.15	-0.1066	-0.086305
6.26	-0.1031	-0.082442
6.37	-0.0982	-0.077179
6.48	-0.0929	-0.071516
6.59	-0.0892	-0.067453
6.7	-0.0839	-0.06179
6.81	-0.0799	-0.057427
6.92	-0.0757	-0.052864
7.03	-0.0717	-0.048501
7.14	-0.0667	-0.043138
7.25	-0.0634	-0.039475
7.36	-0.0584	-0.034112
7.47	-0.0541	-0.029449
7.58	-0.051	-0.025986
7.69	-0.0474	-0.022023
7.8	-0.0423	-0.01656
7.91	-0.0395	-0.013397
8.02	-0.0346	-0.008134
8.13	-0.0313	-0.004471
8.24	-0.0276	-0.000408
8.35	-0.0246	0.002955
8.46	-0.0205	0.007418
8.57	-0.0181	0.010181
8.68	-0.0148	0.013844
8.79	-0.012	0.017007
8.9	-0.008	0.02137
9.01	-0.0053	0.024433
9.12	-0.0022	0.027896
9.23	0.0003	0.030759
9.34	0.0028	0.033622
9.44	0.0049	0.036052
9.55	0.0089	0.040415
9.66	0.0118	0.043678
9.77	0.0132	0.045441
9.88	0.0161	0.048704
9.99	0.0185	0.051467
10.1	0.021	0.05433
10.21	0.0236	0.057293
10.32	0.0257	0.059756
10.43	0.0278	0.062219
10.54	0.0306	0.065382
10.65	0.0334	0.068545
10.76	0.0352	0.070708
10.87	0.0364	0.072271
10.98	0.0392	0.075434
11.09	0.041	0.077597
11.2	0.0432	0.08016
11.31	0.0458	0.083123
11.42	0.0476	0.085286
11.53	0.0487	0.086749
11.64	0.0504	0.088812
11.75	0.0523	0.091075
11.86	0.0539	0.093038
11.97	0.0552	0.094701
12.08	0.0575	0.097364
12.19	0.0582	0.098427
12.3	0.0605	0.10109
12.41	0.0622	0.103153
12.52	0.0633	0.104616
12.63	0.0646	0.106279
12.74	0.066	0.108042
12.85	0.0676	0.110005
12.96	0.068	0.110768
13.07	0.0705	0.113631
13.18	0.0711	0.114594
13.29	0.072	0.115857
13.4	0.0735	0.11772
13.51	0.0744	0.118983
13.62	0.0762	0.121146
13.73	0.0774	0.122709
13.84	0.078	0.123672
13.95	0.0788	0.124835
14.06	0.0788	0.125198
14.17	0.0798	0.126561
14.28	0.0806	0.127724
14.39	0.0824	0.129887
14.5	0.0832	0.13105
14.61	0.0834	0.131613
14.72	0.0843	0.132876
14.83	0.0851	0.134039
14.94	0.0863	0.135602
15.05	0.0868	0.136465
15.16	0.0877	0.137728
15.27	0.0878	0.138191
15.38	0.0887	0.139454
15.49	0.089	0.140117
15.6	0.0897	0.14118
15.71	0.0902	0.142043
15.82	0.0902	0.142406
15.93	0.0915	0.144069
16.04	0.0917	0.144632
16.15	0.092	0.145295
16.26	0.0927	0.146358
16.37	0.0924	0.146421
16.48	0.0933	0.147684
16.59	0.0932	0.147947
16.7	0.0942	0.14931
16.81	0.0943	0.149773
16.91	0.0946	0.150403
17.02	0.0947	0.150866
17.13	0.0944	0.150929
17.24	0.0947	0.151592
17.35	0.0951	0.152355
17.46	0.0958	0.153418
17.57	0.095	0.152981
17.68	0.0953	0.153644
17.79	0.0955	0.154207
17.9	0.0962	0.15527
18.01	0.0965	0.155933
18.12	0.0961	0.155896
18.23	0.0967	0.156859
18.34	0.0963	0.156822
18.45	0.0963	0.157185
18.56	0.0963	0.157548
18.67	0.0966	0.158211
18.78	0.0961	0.158074
18.89	0.0967	0.159037
19	0.0961	0.1588
19.11	0.0966	0.159663
19.22	0.0965	0.159926
19.33	0.0966	0.160389
19.44	0.0962	0.160352
19.55	0.0958	0.160315
19.66	0.096	0.160878
19.77	0.0957	0.160941
19.88	0.096	0.161604
19.99	0.0969	0.162867
20.1	0.0961	0.16243
20.21	0.0965	0.163193
20.32	0.0966	0.163656
20.43	0.0954	0.162819
20.54	0.0948	0.162582
20.65	0.095	0.163145
20.76	0.0952	0.163708
20.87	0.0953	0.164171
20.98	0.0948	0.164034
21.09	0.0953	0.164897
21.2	0.0951	0.16506
21.31	0.095	0.165323
21.42	0.0934	0.164086
21.53	0.0938	0.164849
21.64	0.094	0.165412
21.75	0.093	0.164775
21.86	0.093	0.165138
21.97	0.0933	0.165801
22.08	0.0923	0.165164
22.19	0.0928	0.166027
22.3	0.0926	0.16619
22.41	0.0923	0.166253
22.52	0.0928	0.167116
22.63	0.0921	0.166779
22.74	0.0918	0.166842
22.85	0.0914	0.166805
22.96	0.0909	0.166668
23.12	0.0915	0.167796
23.23	0.0912	0.167859
23.34	0.0906	0.167622
23.45	0.0907	0.168085
23.56	0.0904	0.168148
23.67	0.0899	0.168011
23.78	0.0898	0.168274
23.89	0.0899	0.168737
24	0.0887	0.1679
24.11	0.0896	0.169163
24.22	0.0896	0.169526
24.33	0.0881	0.168389
24.44	0.089	0.169652
24.55	0.0885	0.169515
